date;exits;year;month;day;weekday;in_sample;exits_yesterday;exits_last_week;daily_roll;daily_ewma_fast;daily_ewma_slow;weekday_roll;weekday_ewma_fast;weekday_ewma_slow
2013-06-15;19768.0;2013;6;15;5;False;29701.0;13671.5;32112.65;29711.415570323075;29723.679194575278;16344.5;13973.395371318018;15741.636378900723
2013-06-16;14619.0;2013;6;16;6;False;19768.0;10121.0;29038.85;20241.49597953919;24745.83959728764;12711.25;10292.284798646084;11763.975687578552
2013-06-17;43488.0;2013;6;17;0;False;14619.0;29083.0;25433.15;14886.73790378758;19682.41979864382;32250.25;29852.841745349546;32427.209796916803
2013-06-18;45049.0;2013;6;18;1;False;43488.0;30657.0;25261.15;42126.0351382756;31585.20989932191;40949.75;31543.157166545363;37776.1880035753
2013-06-19;45313.0;2013;6;19;2;False;45049.0;31668.0;28398.9;44909.81119706074;38317.104949660956;42127.0;32553.487028712534;38838.684871384205
2013-06-20;46294.0;2013;6;20;3;False;45313.0;29835.0;31918.1;45293.80053319337;41815.052474830474;41784.25;30818.65944050163;38104.286279352666
2013-06-21;43512.0;2013;6;21;4;False;46294.0;29701.0;33639.2;46246.37145396159;44054.52623741524;38930.25;30437.563308929864;36152.273353433055
2013-06-22;23137.5;2013;6;22;5;False;43512.0;19768.0;34924.7;43642.20816447437;43783.26311870762;17262.5;19492.066446253237;17754.81818945036
2013-06-23;17651.0;2013;6;23;6;False;23137.5;14619.0;34071.65;24113.91467449878;33460.38155935381;13472.25;14412.965942792669;13191.487843789277
2013-06-24;49689.0;2013;6;24;0;False;17651.0;43488.0;32853.25;17958.7578416428;25555.690779676905;33535.25;42838.70674977855;37957.604898458405
2013-06-25;50889.0;2013;6;25;1;False;49689.0;45049.0;34852.05;48178.03608769727;37622.345389838454;42140.25;44405.86462697835;41412.59400178765
2013-06-26;52215.0;2013;6;26;2;False;50889.0;45313.0;37964.15;50759.90648036654;44255.67269491922;43290.25;44705.404144224405;42075.8424356921
2013-06-27;51633.0;2013;6;27;3;False;52215.0;46294.0;41723.75;52145.70983239841;48235.33634745961;43501.75;45557.07902097627;42199.14313967634
2013-06-28;50315.0;2013;6;28;4;False;51633.0;43512.0;42538.25;51657.41475392373;49934.168173729806;40810.25;42889.407776615706;39832.13667671653
2013-06-29;6830.0;2013;6;29;5;False;50315.0;23137.5;43064.85;50378.92451209161;50124.5840868649;19204.75;22963.90792601206;20446.159094725183
2013-06-30;1749.0;2013;6;30;6;False;6830.0;17651.0;39216.55;8903.758310099603;28477.29204343245;14007.25;17496.807902037748;15421.243921894638
2013-07-01;6814.0;2013;7;1;0;False;1749.0;49689.0;34762.05;2089.70277667141;15113.146021716226;42243.75;49362.79555951326;43823.3024492292
2013-07-02;7201.0;2013;7;2;1;False;6814.0;50889.0;31092.25;6589.033465555781;10963.573010858112;44042.25;50580.27926795135;46150.79700089383
2013-07-03;7270.0;2013;7;3;2;False;7201.0;52215.0;29498.6;7171.858736455037;9082.286505429056;44925.5;51857.40019734402;47145.42121784605
2013-07-04;2659.0;2013;7;4;3;False;7270.0;51633.0;28460.5;7265.32660649786;8176.143252714528;44609.5;51343.670429570295;46916.07156983817
2013-07-05;5689.0;2013;7;5;4;False;2659.0;50315.0;23757.5;2878.348886023708;5417.571626357264;42184.0;49961.40037031504;45073.568338358265
2013-07-06;8189.5;2013;7;6;5;False;5689.0;6830.0;19237.5;5555.159470763034;5553.285813178632;15851.75;7598.281329810099;13638.079547362591
