index;year;month;day;weekday;exits;in_sample;Date;exits_yesterday;exits_last_week;target_daily_roll;target_daily_emov_fast;target_daily_emov_slow;target_daily_weekday_roll;target_daily_weekday_emov_fast;target_daily_weekday_emov_slow
127;2010;9;27;0;32662.0;True;2010-09-27 00:00:00;12521.0;34820.0;24938.9;12794.019494490542;19131.72463158208;20619.75;34354.58400013262;26825.881694342403
128;2010;9;28;1;34701.0;True;2010-09-28 00:00:00;32662.0;27832.0;25732.8;31715.905690213833;25896.86231579104;24364.25;27795.318155858462;26240.436490770306
129;2010;9;29;2;35420.0;True;2010-09-29 00:00:00;34701.0;36001.0;27724.0;34558.852651914945;30298.93115789552;26284.75;35530.47030244328;30168.196453843895
130;2010;9;30;3;31931.0;True;2010-09-30 00:00:00;35420.0;35341.0;30154.0;35378.99298342452;32859.46557894776;26294.75;34970.76365776885;30096.529001346593
131;2010;10;1;4;32482.0;True;2010-10-01 00:00:00;31931.0;34817.0;29865.1;32095.190142067833;32395.23278947388;25511.75;34349.70245188036;29212.8397630301
132;2010;10;2;5;5570.5;True;2010-10-02 00:00:00;32482.0;17425.0;30330.1;32463.58048295561;32438.616394736942;15854.5;17309.525768789204;15989.627781401754
133;2010;10;3;6;3198.0;True;2010-10-03 00:00:00;5570.5;12521.0;27287.05;6851.122880140744;19004.55819736847;10951.0;12451.922243392546;11203.377187260388
134;2010;10;4;0;15190.0;True;2010-10-04 00:00:00;3198.0;32662.0;24072.75;3371.9582323876543;11101.279098684236;26021.25;32742.599238101553;29743.946412937952
135;2010;10;5;1;16498.0;True;2010-10-05 00:00:00;15190.0;34701.0;22110.05;14627.236106304174;13145.639549342119;30215.5;34372.15800742183;30470.726314022664
136;2010;10;6;2;16249.0;True;2010-10-06 00:00:00;16498.0;35420.0;22017.35;16408.916005062103;14821.81977467106;32521.0;35425.26049059253;32794.10323544166
137;2010;10;7;3;16006.0;True;2010-10-07 00:00:00;16249.0;31931.0;22390.15;16256.6150478601;15535.409887335529;31382.0;32075.750650369944;31013.76625016451
138;2010;10;8;4;16087.0;True;2010-10-08 00:00:00;16006.0;32482.0;20724.55;16017.9340498981;15770.704943667764;30902.0;32570.9382119943;30847.42299923515
139;2010;10;9;5;4289.0;True;2010-10-09 00:00:00;16087.0;5570.5;18863.15;16083.711145233243;15928.852471833881;14350.125;6129.5012270852;10780.05395422736
140;2010;10;10;6;2148.0;True;2010-10-10 00:00:00;4289.0;3198.0;15750.05;4850.652911677774;10108.92623591694;9233.0;3638.6629639710736;7200.680959093016
141;2010;10;11;0;10488.0;True;2010-10-11 00:00:00;2148.0;15190.0;12771.75;2276.6977576989416;6128.46311795847;27106.75;16025.838058957219;22466.96626659991
142;2010;10;12;1;16946.0;True;2010-10-12 00:00:00;10488.0;16498.0;10572.35;10096.985607509472;8308.231558979234;26480.25;17349.150381305804;23484.35649428987
143;2010;10;13;2;19264.0;True;2010-10-13 00:00:00;16946.0;16249.0;11709.9;16619.85645750045;12627.115779489617;28376.75;17162.155261456788;24521.543728393295
144;2010;10;14;3;20576.0;True;2010-10-14 00:00:00;19264.0;16006.0;13316.5;19138.088402738114;15945.557889744809;27681.75;16771.226221446188;23509.87596881482
145;2010;10;15;4;17700.0;True;2010-10-15 00:00:00;20576.0;16087.0;13855.1;20507.528019178004;18260.778944872403;27027.25;16871.949438666397;23467.204461292706
146;2010;10;16;5;6238.0;True;2010-10-16 00:00:00;17700.0;4289.0;13975.3;17833.691810437045;17980.389472436204;10518.375;4376.642915575486;7534.523881935007
147;2010;10;17;6;1788.0;True;2010-10-17 00:00:00;6238.0;2148.0;12974.2;6790.175800497003;12109.194736218102;7246.75;2218.9839506652893;4674.33807023818
148;2010;10;18;0;11691.0;True;2010-10-18 00:00:00;1788.0;10488.0;11552.4;2026.1988476427146;6948.597368109051;23290.0;10751.706574236057;16477.480277290477
149;2010;10;19;1;14730.0;True;2010-10-19 00:00:00;11691.0;16946.0;11112.8;11230.771373697271;9319.798684054525;23994.25;16965.197637205038;20215.176688278527
150;2010;10;20;2;13912.0;True;2010-10-20 00:00:00;14730.0;19264.0;12156.9;14563.370065414156;12024.899342027264;26733.5;19163.912155307466;21892.770610699943
151;2010;10;21;3;14560.0;True;2010-10-21 00:00:00;13912.0;20576.0;13333.3;13943.017622162579;12968.449671013632;25963.5;20394.82029625934;22042.937284916537
