time;in_sample;exits;annotation
2010-07-31 04:00:00;True;279.0;FULTON ST
2010-07-31 08:00:00;True;1189.0;FULTON ST
2010-07-31 12:00:00;True;2093.0;FULTON ST
2010-07-31 16:00:00;True;2386.0;FULTON ST
2010-07-31 20:00:00;True;1497.0;FULTON ST
2010-08-01 00:00:00;True;607.0;FULTON ST
2010-08-01 04:00:00;True;156.0;FULTON ST
2010-08-01 08:00:00;True;778.0;FULTON ST
2010-08-01 12:00:00;True;1584.0;FULTON ST
2010-08-01 16:00:00;True;1640.0;FULTON ST
2010-08-01 20:00:00;True;1092.0;FULTON ST
2010-08-02 00:00:00;True;409.0;FULTON ST
2010-08-02 04:00:00;True;539.0;FULTON ST
2010-08-02 08:00:00;True;7990.0;FULTON ST
2010-08-02 12:00:00;True;5632.0;FULTON ST
2010-08-02 16:00:00;True;3847.0;FULTON ST
2010-08-02 20:00:00;True;2501.0;FULTON ST
2010-08-03 00:00:00;True;551.0;FULTON ST
2010-08-03 04:00:00;True;600.0;FULTON ST
2010-08-03 08:00:00;True;8320.0;FULTON ST
2010-08-03 12:00:00;True;5840.0;FULTON ST
2010-08-03 16:00:00;True;4043.0;FULTON ST
2010-08-03 20:00:00;True;2387.0;FULTON ST
2010-08-04 00:00:00;True;587.0;FULTON ST
2010-08-04 04:00:00;True;593.0;FULTON ST
2010-08-04 08:00:00;True;8202.0;FULTON ST
2010-08-04 12:00:00;True;6047.0;FULTON ST
2010-08-04 16:00:00;True;4106.0;FULTON ST
2010-08-04 20:00:00;True;2645.0;FULTON ST
2010-08-05 00:00:00;True;583.0;FULTON ST
2010-08-05 04:00:00;True;579.0;FULTON ST
2010-08-05 08:00:00;True;8200.0;FULTON ST
2010-08-05 12:00:00;True;5900.0;FULTON ST
2010-08-05 16:00:00;True;4032.0;FULTON ST
2010-08-05 20:00:00;True;2584.0;FULTON ST
2010-08-06 00:00:00;True;727.0;FULTON ST
2010-08-06 04:00:00;True;559.0;FULTON ST
2010-08-06 08:00:00;True;7685.0;FULTON ST
2010-08-06 12:00:00;True;5927.0;FULTON ST
2010-08-06 16:00:00;True;4468.0;FULTON ST
2010-08-06 20:00:00;True;3310.0;FULTON ST
2010-08-07 00:00:00;True;1708.5;FULTON ST interpolated
2010-08-07 04:00:00;True;107.0;FULTON ST
2010-08-07 08:00:00;True;301.0;FULTON ST
2010-08-07 12:00:00;True;1015.0;FULTON ST
2010-08-07 16:00:00;True;1428.0;FULTON ST
2010-08-07 20:00:00;True;1210.0;FULTON ST
2010-08-08 00:00:00;True;505.0;FULTON ST
2010-08-08 04:00:00;True;124.0;FULTON ST
2010-08-08 08:00:00;True;168.0;FULTON ST
2010-08-08 12:00:00;True;635.0;FULTON ST
2010-08-08 16:00:00;True;1113.0;FULTON ST
2010-08-08 20:00:00;True;861.0;FULTON ST
2010-08-09 00:00:00;True;390.0;FULTON ST
2010-08-09 04:00:00;True;272.0;FULTON ST
2010-08-09 08:00:00;True;6809.0;FULTON ST
2010-08-09 12:00:00;True;3545.0;FULTON ST
2010-08-09 16:00:00;True;2203.0;FULTON ST
2010-08-09 20:00:00;True;1320.0;FULTON ST
2010-08-10 00:00:00;True;397.0;FULTON ST
2010-08-10 04:00:00;True;298.0;FULTON ST
2010-08-10 08:00:00;True;6625.0;FULTON ST
2010-08-10 12:00:00;True;3092.0;FULTON ST
2010-08-10 16:00:00;True;2171.0;FULTON ST
2010-08-10 20:00:00;True;1400.0;FULTON ST
2010-08-11 00:00:00;True;444.0;FULTON ST
2010-08-11 04:00:00;True;292.0;FULTON ST
2010-08-11 08:00:00;True;6616.0;FULTON ST
2010-08-11 12:00:00;True;3704.0;FULTON ST
2010-08-11 16:00:00;True;2142.0;FULTON ST
2010-08-11 20:00:00;True;1465.0;FULTON ST
2010-08-12 00:00:00;True;469.0;FULTON ST
2010-08-12 04:00:00;True;277.0;FULTON ST
2010-08-12 08:00:00;True;6656.0;FULTON ST
2010-08-12 12:00:00;True;3525.0;FULTON ST
2010-08-12 16:00:00;True;2455.0;FULTON ST
2010-08-12 20:00:00;True;1398.0;FULTON ST
2010-08-13 00:00:00;True;462.0;FULTON ST
2010-08-13 04:00:00;True;290.0;FULTON ST
2010-08-13 08:00:00;True;6075.0;FULTON ST
2010-08-13 12:00:00;True;3561.0;FULTON ST
2010-08-13 16:00:00;True;2846.0;FULTON ST
2010-08-13 20:00:00;True;1704.0;FULTON ST
2010-08-14 00:00:00;True;885.5;FULTON ST interpolated
2010-08-14 04:00:00;True;67.0;FULTON ST
2010-08-14 08:00:00;True;226.0;FULTON ST
2010-08-14 12:00:00;True;657.0;FULTON ST
2010-08-14 16:00:00;True;1057.0;FULTON ST
2010-08-14 20:00:00;True;602.0;FULTON ST
2010-08-15 00:00:00;True;236.0;FULTON ST
2010-08-15 04:00:00;True;52.0;FULTON ST
2010-08-15 08:00:00;True;78.0;FULTON ST
2010-08-15 12:00:00;True;467.0;FULTON ST
2010-08-15 16:00:00;True;638.0;FULTON ST
2010-08-15 20:00:00;True;379.0;FULTON ST
2010-08-16 00:00:00;True;112.0;FULTON ST
2010-08-16 04:00:00;True;26.0;FULTON ST
2010-08-16 08:00:00;True;2715.0;FULTON ST
2010-08-16 12:00:00;True;2431.0;FULTON ST
2010-08-16 16:00:00;True;1657.0;FULTON ST
2010-08-16 20:00:00;True;959.0;FULTON ST
2010-08-17 00:00:00;True;243.0;FULTON ST
2010-08-17 04:00:00;True;23.0;FULTON ST
2010-08-17 08:00:00;True;3290.0;FULTON ST
2010-08-17 12:00:00;True;1897.0;FULTON ST
2010-08-17 16:00:00;True;1157.0;FULTON ST
